iteration,probability
6522,0.000278066536647974
6528,0
6545,0
6550,0
6568,0
6569,0
6574,0
6584,0
6592,0
6598,0
6622,0
6629,0
6631,0
6641,0
6648,0
6661,0
6683,0
6687,0
6689,0
6690,0
6694,0
6699,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002412596528662844
6705,0
6709,0
6731,0
6740,0
6748,0
6750,0
6763,0
6766,0
6769,0
6787,0
6807,0
6832,0
6857,0
6875,0
6897,0
6908,0
6912,0
6919,0
6924,0
6928,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010292318905687
6950,0
6960,0
6982,0
6988,0
6991,0
6993,0
6995,0
6999,0
7002,0
7022,0
7052,0
7074,0
7083,0
7085,0
7092,0
7100,0
7101,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000076644979954659976
7121,0
7147,0
7157,0
7161,0
7164,0
7169,0
7181,0
7183,0.00000000000000000000000000000000000000000000000000000000000000015200989352716833
7210,0
7215,0
7226,0
7227,0
7237,0
7245,0
7274,0
7279,0
7290,0
7296,0
7299,0
7306,0
7307,0
7331,0
7336,0
7342,0
7353,0
7358,0
7359,0
7361,0
7369,0
7375,0
7378,0
7381,0
7389,0
7407,0
7425,0
7440,0
7448,0
7452,0
7467,0
7470,0
7483,0
7494,0
7495,0
7514,0
7517,0
7541,0
7544,0
7548,0
7551,0
7563,0
7583,0
7587,0
7588,0
7630,0
7642,0
7653,0
7655,0
7661,0.000000005419389798884898
7666,0
7680,0
7684,0
7688,0
7711,0
7715,0
7720,0
7721,0
7727,0
7729,0
7731,0
7744,0
7755,0
7758,0
7765,0
7783,0
7788,0
7794,0
7799,0
7806,0
7822,0
7824,0.0000000004713436975803363
7827,0
7839,0
7841,0
7844,0
7847,0
7865,0
7871,0
7931,0
7936,0
7938,0
7973,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027356602861665323
7977,0
7978,0
7990,0
8006,0
8009,0
8034,0
8039,0
8053,0
8057,0
8086,0
8090,0
8097,0
8110,0
8111,0
8133,0
8145,0
8171,0
8179,0.0000000000007389461271755278
8202,0
8206,0
8211,0
8216,0
8222,0
8233,0
8234,0
8249,0
8262,0
8267,0
8273,0
8276,0
8279,0
8285,0
8303,0
8304,0
8305,0
8308,0
8334,0
8339,0
8365,0
8380,0
8401,0
8404,0
8408,0
8434,0
8464,0
8466,0
8474,0
8495,0
8499,0
8500,0
8501,0
8522,0
8525,0
8530,0
8536,0
8542,0
8553,0
8556,0
8570,0
8573,0
8575,0
8580,0
8581,0
8588,0
8599,0
8605,0
8613,0
8617,0
8619,0
8629,0
8637,0
8646,0
8656,0
8659,0
8680,0
8684,0
8714,0
8719,0.0000000000000000008004068517617703
8726,0
8736,0
8770,0
8776,0
8792,0
8793,0
8795,0
8799,0
8801,0
8818,0
8838,0
8851,0
8855,0
8857,0
8870,0
8872,0
8880,0
8889,0
8933,0
8934,0
8939,0
8954,0
8966,0
8971,0
9000,0
9016,0
9025,0
9028,0
9033,0
9038,0
9041,0.000000000000000000000010704707970449583
9098,0
9112,0
9120,0
9128,0
9131,0
9134,0
9140,0
9172,0
9188,0
9194,0
9218,0
9225,0
9253,0
9256,0
9259,0
9270,0
9271,0
9283,0
9295,0
9297,0
9307,0
9316,0
9338,0
9344,0
9346,0
9355,0
9361,0
9362,0
9363,0
9366,0
9371,0
9378,0
9393,0
9395,0
9397,0
9425,0
9430,0
9440,0
9443,0
9449,0
9456,0
9462,0
9468,0
9477,0
9480,0
9491,0
9512,0
9513,0
9520,0
9528,0
9531,0
9540,0
9541,0
9544,0
9550,0
9555,0
9562,0
9567,0
9568,0
9572,0
9575,0
9586,0
9608,0
9619,0
9622,0
9625,0
9629,0
9652,0
9675,0
9683,0
9695,0
9713,0
9718,0
9721,0
9726,0
9730,0
9732,0
9735,0
9738,0
9740,0
9756,0
9758,0
9768,0
9778,0
9779,0
9783,0
9793,0
9795,0
9796,0
9807,0
9809,0
9818,0
9819,0
9832,0
9847,0
9860,0
9870,0
9887,0
9888,0
9891,0
9892,0
