iteration,best_cost,incumbent_cost
423,43682131,43682131
424,43682131,43682131
425,43682131,43719210
426,43682131,43719210
427,43682131,43719210
428,43682131,43719210
429,43682131,43719210
430,43682131,43719210
431,43682131,43719210
432,43682131,43719210
433,43682131,43719210
434,43682131,43719210
435,43682131,43706588
436,43682131,43701450
437,43608869,43608869
438,43608869,43608869
439,43608869,43608869
440,43608869,43608869
441,43608869,43608869
442,43608869,43608869
443,43608869,43608869
444,43571790,43571790
445,43571789,43571789
446,43571789,43571789
447,43571789,43571789
448,43559307,43559307
449,43559307,43559307
450,43559307,43559307
451,43559307,43559307
452,43559307,43559307
453,43129576,43129576
454,43129576,43129576
455,43129576,43129576
456,43129576,43129576
457,42777478,42777478
458,42737895,42737895
459,42737895,42737895
460,42737895,42737895
461,42737895,42738732
462,42621305,42621305
463,42621305,42621305
464,42621305,42621305
465,42621305,42675878
466,42609031,42609031
467,42609031,42609031
468,42609031,42609031
469,42021985,42021985
470,42021985,42021985
471,42021985,42021985
472,42021985,42021985
473,42021985,42021985
474,42021985,42021985
475,41693082,41693082
476,41693082,41693082
477,41693082,41693082
478,41693082,41693082
479,41659768,41659768
480,41659768,41675653
481,41659768,41675653
482,41659768,41851526
483,41659768,41851526
484,41659768,41851526
485,41659768,41851526
486,41659768,41804974
487,41659768,41804974
488,41659768,41804974
489,41659768,41802769
490,41659768,41802769
491,41659768,41802769
492,41659768,41802769
493,41522738,41522738
494,41522738,41522738
495,41146231,41146231
496,41146231,41149307
497,41146231,41149307
498,41101816,41101816
499,41101816,41101816
500,41101816,41101816
501,41101816,41101816
502,41089599,41089599
503,41089599,41089599
504,41089599,41089599
505,41089599,41089599
506,41089599,41089599
507,41089599,41700263
508,41089599,41700263
509,41089599,41675670
510,41089599,41630271
511,41089599,41630271
512,41089599,41630271
513,41089599,41630271
514,41089599,41630271
515,41089599,41630271
516,41089599,41568440
517,41089599,41345358
518,41089599,41185340
519,41089599,41185340
520,41089599,41185340
521,41089599,41185340
522,41089599,41185340
523,40615142,40615142
524,40615142,40615142
525,40615142,40630892
526,40615142,40630892
527,40615142,40630890
528,40615142,40630890
529,40615142,40630890
530,40615142,40630890
531,40615142,40630890
532,40615142,40630890
533,40212092,40212092
534,40203002,40203002
535,40171218,40171218
536,40171218,40171218
537,40171218,40171218
538,40171218,40171218
539,40171218,40171218
540,40171218,40476251
541,40171218,40379400
542,40171218,40303443
543,40171218,40303443
544,40171218,40303443
545,40171218,40527936
546,40171218,40527936
547,40171218,40527936
548,40171218,40398397
549,39988790,39988790
550,39988790,39988790
551,39988790,39988790
552,39988790,39988790
553,39988790,39988790
554,39988726,39988726
555,39988726,39988726
556,39988726,39988726
557,39988726,39988726
558,39951766,39951766
559,39933216,39933216
560,39434238,39434238
561,39434238,39434238
562,39434238,39434238
563,39434238,39434238
564,39094583,39094583
565,38636105,38636105
566,38633614,38633614
567,38633614,38633614
568,38633614,38633614
569,38633614,38633614
570,38619124,38619124
571,38389984,38389984
572,38353908,38353908
573,38304291,38304291
574,38304291,38304291
575,38304291,38304291
576,38304291,38409872
577,38304291,38409872
578,38304291,38409872
579,38304291,38409872
580,37831228,37831228
581,37831228,37831228
582,37776278,37776278
583,37776278,37776278
584,37776278,37776278
585,37776278,37776278
586,37773098,37773098
587,37766047,37766047
588,37766047,37766047
589,37709268,37709268
590,37709268,37709268
591,37416936,37416936
592,37416936,37416936
593,37359609,37359609
594,37359609,37359609
595,37359609,37359609
596,37359609,37359609
597,37359609,37359609
598,37321333,37321333
599,37233801,37233801
600,37233801,37233801
601,37233801,37233801
602,37233801,37274300
603,37132065,37132065
604,37132065,37132065
605,37102704,37102704
606,37102704,37102704
607,36776683,36776683
608,36765266,36765266
609,36765266,36765266
610,36209582,36209582
611,35851469,35851469
612,35804393,35804393
613,35800745,35800745
614,35800745,35805991
615,35800745,35805991
616,35800745,35805991
617,35800745,35805991
618,35800745,35805991
619,35800745,35805991
620,35800745,35906017
621,35800745,35906017
622,35800745,35906017
623,35800745,35906017
624,35800745,35886591
625,35800745,35821815
626,35749200,35749200
627,35749200,35749200
628,35749200,35749200
629,35749200,35749200
630,35749200,35749200
631,35269276,35269276
632,35269276,35269276
633,35269276,35269276
634,35269276,35269276
635,35269276,35269276
636,35269276,35269276
637,35242485,35242485
638,35242485,35242485
639,35242485,35242485
640,35242485,35242485
641,35242485,35242485
642,34679502,34679502
643,34679502,34679502
644,34679502,34679502
645,34679502,34679502
646,34679502,34679502
647,34679502,34679502
