iteration,operator_0,operator_1,operator_2,operator_3
445,0,-51341678,0,0
446,0,0,-51341678,0
447,0,-51341678,0,0
448,39561,0,0,0
449,0,0,0,0
450,0,0,0,0
451,-51381239,0,0,0
452,0,-51381239,0,0
453,0,63943,0,0
454,-3097,0,0,0
455,0,0,0,0
456,0,0,-51442085,0
457,0,0,0,0
458,0,-51442085,0,0
459,-51442085,0,0,0
460,0,-205639,0,0
461,-51236446,0,0,0
462,0,0,0,0
463,0,-51236446,0,0
464,0,0,-51236446,0
465,0,0,-51236446,0
466,-51236446,0,0,0
467,0,23913,0,0
468,0,0,0,0
469,0,-613,0,0
470,0,0,-51259746,0
471,0,-51259746,0,0
472,0,0,0,0
473,-51259746,0,0,0
474,0,-51259746,0,0
475,0,0,-51259746,0
476,0,0,-51259746,0
477,0,-51259746,0,0
478,0,-51259746,0,0
479,0,0,0,-51259746
480,-82402,0,0,0
481,0,0,-51177344,0
482,0,0,-51177344,0
483,0,0,-51177344,0
484,0,0,0,-51177344
485,0,0,-51177344,0
486,0,-51177344,0,0
487,3315,0,0,0
488,0,-40842,0,0
489,0,0,-51139817,0
490,0,-51139817,0,0
491,0,-51139817,0,0
492,0,0,-51139817,0
493,-40449,0,0,0
494,0,-51099368,0,0
495,0,-51099368,0,0
496,0,0,-51099368,0
497,-100858,0,0,0
498,11218,0,0,0
499,-51009728,0,0,0
500,95053,0,0,0
501,-51104781,0,0,0
502,0,0,-51104781,0
503,0,-51104781,0,0
504,-42593,0,0,0
505,0,0,0,0
506,0,0,-51062188,0
507,0,0,0,0
508,0,-64202,0,0
509,33961,0,0,0
510,0,0,-51031947,0
511,0,0,0,0
512,0,-51031947,0,0
513,0,0,0,0
514,-379095,0,0,0
515,0,0,0,0
516,0,0,0,0
517,-50652852,0,0,0
518,0,0,0,-50652852
519,0,0,0,0
520,0,0,0,0
521,32981,0,0,0
522,-5314,0,0,0
523,-88181,0,0,0
524,0,-50592338,0,0
525,0,0,0,0
526,0,0,-50592338,0
527,0,0,-50592338,0
528,-5253,0,0,0
529,0,-50587085,0,0
530,0,0,-50587085,0
531,-50587085,0,0,0
532,0,0,-50587085,0
533,0,-50587085,0,0
534,0,825825,0,0
535,0,0,0,-51412910
536,-51412910,0,0,0
537,-77378,0,0,0
538,-1,0,0,0
539,0,130408,0,0
540,0,-43325,0,0
541,0,-51422614,0,0
542,67008,0,0,0
543,0,0,-51489622,0
544,0,0,-212393,0
545,46654,0,0,0
546,327701,0,0,0
547,0,0,-51651584,0
548,-51651584,0,0,0
549,0,-51651584,0,0
550,0,-51651584,0,0
551,-347775,0,0,0
552,0,-51303809,0,0
553,0,0,0,0
554,0,0,-51303809,0
555,0,0,0,0
556,-116095,0,0,0
557,-600886,0,0,0
558,0,0,-50586828,0
559,33554,0,0,0
560,0,0,-50620382,0
561,186305,0,0,0
562,0,0,-50806687,0
563,-50806687,0,0,0
564,0,-50806687,0,0
565,0,0,-50806687,0
566,-50806687,0,0,0
567,-50806687,0,0,0
568,0,-50806687,0,0
569,96561,0,0,0
570,0,0,0,-50903248
571,0,0,0,0
572,0,-50903248,0,0
573,0,-50903248,0,0
574,0,-50903248,0,0
575,0,-50903248,0,0
576,64160,0,0,0
577,26969,0,0,0
578,0,-50994377,0,0
579,0,0,0,0
580,44850,0,0,0
581,-109038,0,0,0
582,0,-50930189,0,0
583,0,0,0,0
584,-50930189,0,0,0
585,-50930189,0,0,0
586,-50930189,0,0,0
587,0,0,0,0
588,57245,0,0,0
589,0,0,-50987434,0
590,0,0,-50987434,0
591,0,-78672,0,0
592,0,0,-50908762,0
593,0,0,0,0
594,-50908762,0,0,0
595,0,-50908762,0,0
596,-50908762,0,0,0
597,0,59287,0,0
598,27990,0,0,0
599,-50996039,0,0,0
600,0,0,-50996039,0
601,735,0,0,0
602,0,0,0,0
603,-30244,0,0,0
604,-50966530,0,0,0
605,0,0,0,-50966530
606,-50966530,0,0,0
607,-108075,0,0,0
608,-50858455,0,0,0
609,-9100,0,0,0
610,0,0,0,0
611,0,0,-50849355,0
612,-50849355,0,0,0
613,-50849355,0,0,0
614,-89436,0,0,0
615,0,0,-50759919,0
616,-50759919,0,0,0
617,415803,0,0,0
618,0,0,0,0
619,-51175722,0,0,0
620,-51175722,0,0,0
621,505311,0,0,0
622,0,-51681033,0,0
623,0,0,0,0
624,0,-51681033,0,0
625,-15027,0,0,0
626,0,0,-51666006,0
627,-51666006,0,0,0
628,-17758,0,0,0
629,330269,0,0,0
630,7689,0,0,0
631,0,-51986206,0,0
632,0,-51986206,0,0
633,-74188,0,0,0
634,0,-51912018,0,0
635,0,0,0,0
636,0,0,-51912018,0
637,0,-51912018,0,0
638,0,0,0,0
639,-51912018,0,0,0
640,-51912018,0,0,0
641,0,0,-51912018,0
642,-51912018,0,0,0
643,0,0,-51912018,0
644,0,0,0,0
645,0,-51912018,0,0
646,-62532,0,0,0
647,0,-51849486,0,0
648,0,0,0,-51849486
649,0,-51849486,0,0
650,0,0,-51849486,0
651,0,0,0,0
652,0,0,0,-51849486
653,-51849486,0,0,0
654,0,0,-51849486,0
655,0,-51849486,0,0
656,33061,0,0,0
657,112657,0,0,0
658,0,-51995204,0,0
659,0,-51995204,0,0
660,0,0,0,0
661,0,-51995204,0,0
662,0,0,-51995204,0
663,-51995204,0,0,0
664,0,0,0,0
665,0,-51995204,0,0
666,0,-51995204,0,0
667,-51995204,0,0,0
668,-51995204,0,0,0
669,0,0,0,-51995204
670,0,0,-51995204,0
671,0,0,0,0
672,0,-51995204,0,0
673,0,0,0,0
674,0,-51995204,0,0
675,-133545,0,0,0
676,-51861659,0,0,0
